hr_record_id,person_id,entity_id,entity_legal_name,country_code,full_name,gender,role,role_instance,reporting_year,fixed_pay_eur,total_variable_pay_eur,total_compensation_eur,esg_bonus_weight_pct,esg_bonus_kpi_codes,esg_bonus_kpis,esg_training_required_flag,esg_training_completed_flag,esg_training_completion_date,climate_training_hours_yr,data_source,created_from
HR-EXEC-00001-2019,EXEC-00001,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Schmidt,male,CEO,1,2019,496458.93,163653.33,660112.25,26.4,FIN-008; FIN-009; ENV-004; FIN-004,Sovereign bond exposure; Project finance exposure; Energy consumption; Average PCAF data quality score,True,True,2019-11-27,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00001-2020,EXEC-00001,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Schmidt,male,CEO,1,2020,483365.65,203295.75,686661.39,18.5,FIN-008; FIN-009; ENV-004; FIN-004,Sovereign bond exposure; Project finance exposure; Energy consumption; Average PCAF data quality score,True,False,,13,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00001-2021,EXEC-00001,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Schmidt,male,CEO,1,2021,502077.97,174973.54,677051.52,28.4,FIN-008; FIN-009; ENV-004; FIN-004,Sovereign bond exposure; Project finance exposure; Energy consumption; Average PCAF data quality score,True,False,,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00001-2022,EXEC-00001,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Schmidt,male,CEO,1,2022,519439.2,184733.25,704172.45,24.2,FIN-008; FIN-009; ENV-004; FIN-004,Sovereign bond exposure; Project finance exposure; Energy consumption; Average PCAF data quality score,True,False,,12,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00001-2023,EXEC-00001,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Schmidt,male,CEO,1,2023,505451.85,167238.26,672690.11,31.5,FIN-008; FIN-009; ENV-004; FIN-004,Sovereign bond exposure; Project finance exposure; Energy consumption; Average PCAF data quality score,True,True,2023-12-09,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00001-2024,EXEC-00001,ENT-GROUP-001,Atlas Banking Group SA,FR,Maya Schmidt,male,CEO,1,2024,559940.38,187543.34,747483.72,29.2,FIN-008; FIN-009; ENV-004; FIN-004,Sovereign bond exposure; Project finance exposure; Energy consumption; Average PCAF data quality score,True,True,2024-07-12,19,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00002-2019,EXEC-00002,ENT-GROUP-001,Atlas Banking Group SA,FR,Victor Moreau,female,CFO,2,2019,420139.51,159066.57,579206.08,19.0,FIN-007; FIN-005; ENV-004,High transition risk exposure; Financed emissions data coverage; Energy consumption,True,True,2019-08-15,8,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00002-2020,EXEC-00002,ENT-GROUP-001,Atlas Banking Group SA,FR,Victor Moreau,female,CFO,2,2020,407866.54,172519.55,580386.09,17.7,FIN-007; FIN-005; ENV-004,High transition risk exposure; Financed emissions data coverage; Energy consumption,True,True,2020-08-03,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00002-2021,EXEC-00002,ENT-GROUP-001,Atlas Banking Group SA,FR,Victor Moreau,female,CFO,2,2021,434035.72,155522.57,589558.29,18.7,FIN-007; FIN-005; ENV-004,High transition risk exposure; Financed emissions data coverage; Energy consumption,True,True,2021-12-12,13,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00002-2022,EXEC-00002,ENT-GROUP-001,Atlas Banking Group SA,FR,Victor Moreau,female,CFO,2,2022,531985.97,171578.18,703564.16,28.4,FIN-007; FIN-005; ENV-004,High transition risk exposure; Financed emissions data coverage; Energy consumption,True,False,,9,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00002-2023,EXEC-00002,ENT-GROUP-001,Atlas Banking Group SA,FR,Victor Moreau,female,CFO,2,2023,469368.69,193957.55,663326.23,26.1,FIN-007; FIN-005; ENV-004,High transition risk exposure; Financed emissions data coverage; Energy consumption,True,True,2023-11-25,17,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00002-2024,EXEC-00002,ENT-GROUP-001,Atlas Banking Group SA,FR,Victor Moreau,female,CFO,2,2024,472057.7,217331.11,689388.81,20.8,FIN-007; FIN-005; ENV-004,High transition risk exposure; Financed emissions data coverage; Energy consumption,True,True,2024-07-19,10,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
HR-EXEC-00003-2019,EXEC-00003,ENT-GROUP-001,Atlas Banking Group SA,FR,David Lefevre,male,CRO,3,2019,402245.11,130037.44,532282.55,24.6,FIN-012; FIN-005; ENV-005; GOV-001,"Financed emissions Scope 1, 2 and 3; Financed emissions data coverage; Energy cost; Board meetings with ESG agenda",True,True,2019-07-08,11,synthetic_hr_remuneration_and_training_snapshot,synthetic_hr_system_generation_v2_core_tables_aligned
